NAAM,ALCOHOL %,BROUWERIJ
Barbe Noire(Zwartbaard),9.000000,Brouwerij Verhaeghe
Barbe Rouge(Roodbaard),8.000000,Brouwerij Verhaeghe
Bas,6.500000,De ProefBrouwerij voor bierfirmaBas-bieren
Bastogne Pale Ale,6.500000,Brouwerij de Bastogne
Basèque,8.500000,Brasserie des carrières
Basilius,7.000000,De ProefBrouwerij voor ’t BrugsBierinstituut
Bobeline Black Label,8.500000,Didier Dumalin
Bobeline Blanche Fraise,3.600000,Didier Dumalin
Bobeline Blonde,8.500000,Didier Dumalin
BoudeloBlond Tripel,8.500000,Brouwerij Boelens
BoudeloDouble,8.500000,Brouwerij Boelens
Bavaro,3.600000,Brouwerij Haacht
Bavik Blond,1.500000,Brouwerij Bavik
Bavik Faro,1.500000,Brouwerij Bavik
Bavik Pony-Stout,5.200000,Brouwerij Bavik
Bavik PremiumPils,5.200000,Brouwerij Bavik
Bavik Triple Bock,3.000000,Brouwerij Bavik
Beer for Life,6.500000,Brouwerij Dilewyns
BeernemsBerenbier,7.500000,Brouwerij Van Steenbergevoor BIVO Drinks
Beersel Bio,7.000000,Geuzestekerij 3 Fonteinen
Beersel Blond,7.000000,Geuzestekerij 3 Fonteinen
Beersel Lager,5.200000,Geuzestekerij 3 Fonteinen
Bel Pils,5.000000,Brouwerij Duvel Moortgat
Belgian AngelStout,5.200000,Brouwerij Brootcoorens
BelgianFramboises,3.500000,Brouwerij Lefebvre
Belgian Kriek,3.500000,Brouwerij Lefebvre
Belgian Pêches,3.500000,Brouwerij Lefebvre
Belgoo Arboo,8.100000,Brouwerij Belgoobeer bijBrouwerij La Binchoise
Belgoo Magus,6.600000,Brouwerij Belgoobeer bijBrouwerij La Binchoise
Belgoo Maxus,8.100000,Brouwerij Belgoobeer bijBrouwerij La Binchoise
Belgoo Luppoo,6.500000,Brouwerij Belgoobeer bijBrouwerij La Binchoise
Bella Mère,6.500000,Brouwerij Millevertus
Belle Cies,10.000000,HuisBrouwerij Den Tseut
Belle-VueFramboise,5.700000,Brouwerij Belle-Vue (InBev)
Belle-Vue ExtraFramboise,2.900000,Brouwerij Belle-Vue (Inbev)
Belle-Vue Kriek,5.200000,Brouwerij Belle-Vue (InBev)
Belle-Vue KriekClassique,5.100000,Brouwerij Belle-Vue (Inbev)
Belle-Vue ExtraKriek,4.300000,Brouwerij Belle-Vue (InBev)
Belle-Vue Gueuze,5.500000,Brouwerij Belle-Vue (InBev)
Belle-Vue LA,1.000000,Brouwerij Belle-Vue (Inbev)
Bellebier Amber,5.200000,Brouwerij Van Steenbergevoor Paeleman
Bellebier Dubbel,6.200000,Brouwerij Van Steenbergevoor Paeleman
Bellebier Trippel,8.000000,Brouwerij Van Steenbergevoor Paeleman
Bellegems Bruin,5.500000,Brouwerij Bockor
